Address,Airdrop_Amount,Explorer_Link,Status
0x939e38f9d88a535b7851582672212c7bfff63742,0.012,https://basescan.org/tx/0x4c02be35b78799765474a69c57cc9926443ba84597cac15035cec8359932a865,success
0xf471f0008bac2c08c53919428b2a541a32c36eab,0.011,https://basescan.org/tx/0x51f53ba65ab2fa64b88116159ca996fdfb6d85ad9824c05d78e16170d5e39b60,success
0x6c492c42393e1561d690e0453ccb94f15def587d,0.006,https://basescan.org/tx/0xb32bd939bc8c39de8aa4ecae0d0f05f9903e0e3106b9d90b5053cfa6a33174df,success
0xbeb6f0a258990723cce56092673c4d007f37c30f,0.006,https://basescan.org/tx/0xb789a5d6ed3f9c8bec179a97679362bf76b2eecfca8a07611c882175a229d4e2,success
0xc7ecaaef4090893036a9da8abd3ca5b68fe13948,0.006,https://basescan.org/tx/0x987a68674a7ee0f6a48472e37ee09fca983c12b0e2a40c937e2fee2b775cf679,success
0x4ccee93090768e1b46fe1133bc43a350e88bd891,0.006,https://basescan.org/tx/0xe24ee1415bf76b004dac3d044bd684038bade6e17dd3b93ab562fd5fc1733439,success
0x4e294e969a2c63a4d6dd30c17e88e77c33886ce2,0.006,https://basescan.org/tx/0xededfe0b515ecce66afa57cb9f8bdb9db34063b8b54ace6f84e91a51778fb343,success
0xd2071c9994f498947330357cccf00c97881f78e0,0.006,https://basescan.org/tx/0x8442d8e739b7cabdea0cb6630f6bea0945d6057eccb367a2fdc22d3f627e74d8,success
0x6e4cd10d2e42613e5d564e6341ac7f523c0e7c93,0.006,https://basescan.org/tx/0x4b82e97278100d70183f80474779099a77f24a8e67f43aaafbb839688cf13775,success
0xb5deb2ab829322de5c9c2dd4b837a444202372f0,0.006,https://basescan.org/tx/0xe94b48e09d34b2a85c202111fbad680dced8321ccba41d8870116d2323d24ea1,success
0x8e85c14381923265ebfe17d19a3ec29708363202,0.006,https://basescan.org/tx/0x2b5251b75ea0e0854519cf009141e3fb6bf9eeae84713962a69c18268f4733ef,success
0x0a242da994ebbcbe1e8673616a1b35d884c78133,0.006,https://basescan.org/tx/0x8a9af49d7b5b3438d68184d27fb9c0ab3a4f9d6124d9d83380a9ba9a9b2af42e,success
0x0a9fd20fc663cc9afa28699959965a2a2dc5aae3,0.006,https://basescan.org/tx/0x58580f0a9049ab6ada3b653f0ce795fad813d8f5180dbf991108355add396323,success
0x98fe5d1e17480eed1d51960a403d59e8828c5dc5,0.005,https://basescan.org/tx/0x5b5febddaef8a3259347594705ee244af3dc6dae0d87d07750099285ae1d0ea3,success
0x39f4da389fef57165bd470eb422c755e271f785b,3.078,https://basescan.org/tx/0xdde63e899003b54748bb259ad36adf62c38c3b2a59d89fc94d425abf2c59532b,success
